model,power,prop_na,sample_size,cutpoints,beta_t,beta_tx,beta_t_tx,rand_intercept_sd,rand_slope_sd,n_sim,datetime
otm,1,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
otm_rand_int,1,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
rand_int,1,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
free_days8,0.1,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
free_days78,0.326,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
free_days678,0.606,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
free_days5678,0.892,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
free_days45678,0.996,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
free_days345678,0.998,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
free_days2345678,0.982,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
ppo_3,0.212,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
ppo_7,0.23,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
ppo_14,0.234,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
ppo_21,0.254,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
ppo_28,0.184,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
cox_prop_state1,0.52,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
cox_spline2_state1,0.35,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
cox_prop_state12,0.524,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
cox_spline2_state12,0.338,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
cox_prop_state123,0.478,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
cox_spline2_state123,0.252,0,500,NA,-0.2,-0.2,0,1e-5,1e-5,500,2024-10-31T11:15:42Z
otm,0.53,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
otm_rand_int,0.508,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
rand_int,0.502,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
free_days8,0.056,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
free_days78,0.052,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
free_days678,0.078,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
free_days5678,0.092,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
free_days45678,0.2,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
free_days345678,0.318,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
free_days2345678,0.446,0,100,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-29T21:21:25Z
