model,power,prop_na,sample_size,cutpoints,beta_yprev,beta_t,beta_tx,beta_t_tx,tx_end,tx_type,n_sim,datetime
otm,0.084,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
otm_rand_int,0.082,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
rand_int,0.572,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days8,0.066,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days78,0.084,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days678,0.078,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days5678,0.094,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days45678,0.088,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days345678,0.082,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
free_days2345678,0.08,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_3,0.052,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_7,0.08,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_14,0.086,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_21,0.098,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
ppo_28,0.094,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_prop_state1,0.08,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_spline2_state1,0.072,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_prop_state12,0.08,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_spline2_state12,0.066,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_prop_state123,0.084,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
cox_spline2_state123,0.066,0,500,NA,NA,-0.02,0,-0.01,3,linear,500,2024-11-01T15:27:49Z
otm,0.094,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
otm_rand_int,0.094,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
rand_int,0.604,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days8,0.054,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days78,0.058,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days678,0.058,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days5678,0.06,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days45678,0.088,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days345678,0.088,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
free_days2345678,0.088,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_3,0.058,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_7,0.056,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_14,0.082,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_21,0.068,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
ppo_28,0.076,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_prop_state1,0.07,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_spline2_state1,0.062,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_prop_state12,0.058,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_spline2_state12,0.06,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_prop_state123,0.048,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
cox_spline2_state123,0.048,0,100,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T06:38:47Z
otm,0.128,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
otm_rand_int,0.118,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
rand_int,0.614,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days8,0.058,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days78,0.066,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days678,0.066,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
free_days5678,0.088,0,200,NA,NA,-0.02,0,-0.02,3,linear,500,2024-10-30T14:18:18Z
