model,setting,power,iterations,prop_na,sample_size,cutpoints,beta_yprev,beta_t,beta_tx,beta_t_tx,tx_end,tx_type,n_sim
otm,1,0.0896551724137931,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
otm_rand_int,1,0.085765693722511,10005,9.995002498750625e-5,100,NA,NA,-0.02,0,-0.02,3,linear,5
rand_int,1,0.5737131434282858,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
free_days8,1,0.06496751624187906,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
free_days78,1,0.05987006496751624,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
free_days678,1,0.05717141429285357,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
free_days5678,1,0.07056471764117941,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
free_days45678,1,0.07456271864067966,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
free_days345678,1,0.07486256871564217,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
free_days2345678,1,0.07656171914042978,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_3,1,0.05067466266866567,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_7,1,0.05687156421789105,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_14,1,0.06796601699150424,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_21,1,0.07226386806596702,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_28,1,0.07876061969015492,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
cox_prop_state1,1,0.07406296851574212,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
cox_spline2_state1,1,0.0672663668165917,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
cox_prop_state12,1,0.07326336831584208,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
cox_spline2_state12,1,0.06516741629185407,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
cox_prop_state123,1,0.06796601699150424,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
cox_spline2_state123,1,0.06666666666666667,10005,0,100,NA,NA,-0.02,0,-0.02,3,linear,5
otm,2,0.4,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
otm_rand_int,2,0.2,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
rand_int,2,0.6,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
free_days8,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
free_days78,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
free_days678,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
free_days5678,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
free_days45678,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
free_days345678,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
free_days2345678,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_3,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_7,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_14,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_21,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
ppo_28,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
cox_prop_state1,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
cox_spline2_state1,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
cox_prop_state12,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
cox_spline2_state12,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
cox_prop_state123,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
cox_spline2_state123,2,0,5,0,200,NA,NA,-0.02,0,-0.02,3,linear,5
